identifier,mediaType,accessLevel,source,title,duration,recordedDate,digitizedFromFormat,description,person,producer,rightsholder,client,generation,internalNote,Merknader,Digitalisert,Merknad
3230,video,lukket,Videoproduksjon_Mastertape,Vestlandske Bondestemna 50 år.,02:13:00,1983-03-13T23:00:00Z,"1""C +LB",Festkonsert i Grieghallen. Vestlandske bondestemna 50 år. Bømloteateret.,"Wigdis Espeland|,|Leif Rygg|,|Jon Eikemo|,|Gunnlaug Lien",Knut Midttun,UMS,Bjørndalssamlingen,Master,,,,
3256,video,lukket,Videoproduksjon_Mastertape,Gjenoppliving av nyfødte.,00:25:27,1984-12-31T23:00:00Z,U-MaticHB,"Undervisningsprogram om gjenopplivingsteknikk av nyfødte for lege- og jordmorstudenter, leger og jordmødre.","Trond Markestad|,|Terje Alsaker",Arnt Brandseth,"Markestad|,|UMS",,Master,"Kr 500,-","Kr 500,-",,
3262,video,lukket,Videoproduksjon_Mastertape,Pyrox grill.,00:18:00,1991-04-15T00:00:00Z,"1"" C",Reklamefilm for Pyrox grill,,Jarle Fimland,Fjordfilm,Fjordfilm,Master,,,,
3263,video,lukket,Videoproduksjon_Mastertape,Bangladesh. Scrødingers katt.,00:05:35,1991-05-01T00:00:00Z,"1"" C","Reportasje fra Bangladesh om befolkningsproblemer, fra landsby, fra Dhaka, intervju med Tone Bleie CMI. Schrødingers katt.",Tone Bleie,Bjørn Vassnes,UMS,,Master,NRK,NRK,,
3266,video,lukket,Videoproduksjon_Mastertape,Norsk historie 1: Fortida i nåtida.,00:34:00,1991-02-25T23:00:00Z,"1"" C",Norsk historie program 1.,,Unni Arnøy,UMS,NFU,Master,"NRK, X Frode",NRK,X Frode,
3294,video,lukket,Videoproduksjon_Mastertape,Kveding,01:30:00,1991-02-11T23:00:00Z,BetacamSP,Første masterutgave om Ragnar Vigdal om kveding,Ragnar Vigdal,Arnt Brandseth,UMS,Bjørndalssamlingen,Master,X Frode,,X Frode,
3349,video,lukket,Videoproduksjon_Mastertape,Tilfellet Tellus 1-5,03:00:00,1991-10-31T23:00:00Z,"1"" C",5 første program Tilfellet Tellus,,Arnt Brandseth,UMS,,Dub,Kopiering,Kopiering,,
3393,video,lukket,Videoproduksjon_Mastertape,Birger Tvedt - Et liv i bevegelse.,00:34:00,1991-08-01T00:00:00Z,BetacamSP,Portrett av Birger Tvedt. Om fysioterapi.,"Birger Tvedt|,|Reidar Aarskog",Jorunn Tveit,"Fysioterapiskole|,|UMS",Fysioterpiskole,Master,"Fysio.skol, X Frode",Fysio.skol,X Frode,
3425,video,lukket,Videoproduksjon_Mastertape,Showreel 1998,00:59:00,1999-02-14T23:00:00Z,U-MaticLB,Showreel 1998. Sammensatte snutter ca 1 times varighet,,Univisjon,Univisjon,,Dub,Nygaten,Nygaten,,
3452,video,lukket,Videoproduksjon_Mastertape,"Åkleveving på ""Opstøstol"".",00:18:00,1994-05-10T00:00:00Z,BetacamSP,"Åkleveving på ""Oppstøstol"", fra Tveita gård, Øvre Hålandsdal, Hordaland, overført fra 16mm film, 1956 av Per Gjærder og Marta Hoffman",,Per Gjærder,Bergens Museum Hist,Hist.Mus.Fotoseksjon,Master,X Frode,,X Frode,
